,2010,,,,,,,,,,,2013,,,,,,,,
Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF,,Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF
Cameroon,"166,956.95","1,777,879.95","1,548,030.68","28,368.13","4,496.09","2,018.99","56,096.64",,"30,613.69",,Cameroon,"368,815.81","1,927,321.60","1,610,670.25","53,474.63","5,122.93","1,864.74","40,676.75","87,841.97","26,829.93"
Canada,"4,034.36",115.87,"32,963.31",0,0,0,0,,0,,Canada,"6,825.33",0,"22,113.49",0,0,0,0,0,0
Cape Verde,"177,132.98","248,272.89","27,455.76",0.64,114.79,0.51,19.07,,19.07,,Cape Verde,"3,407.80",0,"7,106.74",0.45,0.88,0,0,0,0
Cayman Islands,"193,031.46","611,273.70","37,146.26",0,846.77,0,"1,111.76",,48.84,,Cayman Islands,0,0,0,0,0,0,0,0,0
Central African Republic,"162,232.37","512,419.00","489,346.69","6,695.56","2,210.69",39.11,"4,638.14",,"9,351.99",,Central African Republic,"284,527.96","354,786.54","485,034.67","6,166.43","2,749.29",41.63,"4,224.99","24,178.41","9,963.37"
Chad,"2,122,066.36","941,893.08","539,755.46","6,257.48","4,191.14",0.22,"25,886.26",,"12,226.84",,Chad,"440,103.72","1,018,939.55","636,683.21","5,981.62","6,707.24",0.24,"30,145.62","12,670.53","13,708.89"
Chile,"14,689.90",5.02,"31,277.63",318.15,0.16,11.89,0,,0,,Chile,"28,104.39",0,"26,752.77",314.53,0.12,11.44,0,0,0
China,"1,732,860.00","11,717.30","1,751,701.14","9,505.75","34,728.69","2,068.43","48,561.28",,0,,China,"3,430,310.51","11,891.43","1,115,939.55","7,414.47","30,865.03","1,915.42","34,174.36",0,0
"China, Hong Kong SAR","61,823.01",118.57,"2,466.96",0,0,0,0,,0,,"China, Hong Kong SAR",0,0,0,0,0,0,0,0,0
"China, Macao SAR","11,373.78","16,296.63",0.15,74.16,78.54,10.74,0,,8.72,,"China, Macao SAR",0,0,0,0,0,0,0,0,0
Colombia,"111,459.95","120,896.10","503,576.81","6,238.63","5,992.69","1,879.74",573.67,,67.88,,Colombia,"96,003.28","37,895.01","152,019.04","5,930.99","5,185.68","1,797.85",0,0,0
Comoros,"10,215.30","34,835.70",14.26,160.92,201.38,163.46,0,,"1,067.22",,Comoros,"24,020.79","19,089.11","1,291.65",234.61,304,186.46,0,0,"1,115.85"
Congo,"60,974.26","291,255.06","244,663.76","2,188.65","1,195.77",652.14,"10,593.68",,"7,843.01",,Congo,"100,446.47","177,060.96","250,160.72","2,037.00","1,291.47",715.72,"10,264.98","1,688.86","5,075.44"
Cook Islands,"265,616.68","1,026,903.83","200,558.68",0,0,2.96,"10,247.53",,69.35,,Cook Islands,0,0,0,0,0,0,0,0,0
Costa Rica,"6,122.32",2.92,"8,835.85",191.83,313.82,24.41,0,,0,,Costa Rica,"4,200.30",0,"8,205.92",178.4,316.01,23.3,0,0,0
Cote dlvoire,"264,709.32","2,301,580.00","1,201,116.97","8,394.07","6,287.90",307.09,"81,732.88",,"29,017.49",,Cote dlvoire,"511,987.45","1,653,602.97",0,"10,384.94","6,528.54",328.04,"82,797.00",0,"31,372.61"
Croatia,"3,537.04",3.51,977.07,0,0,0,0,,0,,Croatia,"4,325.04",0,339.83,0,0,0,0,0,0
Cuba,"3,410.74",8.48,"21,118.15",615.36,906.1,24.32,0,,0,,Cuba,"3,406.84",0,"19,318.67",595.79,891.21,23.21,0,0,0
CuraASao,"3,803.76",0,0.14,0,0,0,0,,0,,CuraASao,0,0,0,0,0,0,0,0,0
Cyprus,"193,701.84",1.9,587.52,0,0,0,0,,0,,Cyprus,188.05,0,299.22,0,0,0,0,0,0
Czech Republic,"1,978,526.75","4,154,694.47","71,086.31",0,152.78,11.18,"10,424.72",,24.3,,Czech Republic,"3,639.64",0,830.8,0,0,0,0,0,0
Democratic People's Republic of Korea,"175,285.14",31.99,"9,304.04",824.02,0.31,0,0,,0,,Democratic People's Republic of Korea,"225,092.05",100,0,674.03,0.31,0,0,0,0
Democratic Republic of the Congo,"1,766,617.35","8,244,236.27","2,734,379.94","70,452.73","21,890.34","3,999.05","180,088.94",,"23,384.44",,Democratic Republic of the Congo,"3,024,472.96","4,407,788.09","1,900,884.21","72,147.56","30,397.33","4,770.01","197,954.49","544,782.13","24,679.78"
Denmark,"1,108.66",1.7,"2,875.05",0,0,0,0,,0,,Denmark,"1,795.38",0,"1,979.52",0,0,0,0,0,0
Djibouti,"34,266.07","12,312.80","60,405.81",54.31,45.99,62.86,414.08,,0.02,,Djibouti,"29,317.86","27,800.00","46,421.33",43.5,40.94,62.84,387.39,0,0
Dominica,"43,026.14",42.97,"1,870.50",0.13,0.01,0,0,,0,,Dominica,164.53,0,319.79,0.12,0.01,0,0,0,0
Dominican Republic,"113,426.32",755.65,"99,719.12",24.28,0.19,0,"42,009.02",,409.85,,Dominican Republic,"33,382.40","1,001.96","223,861.48",20.99,0.16,0,"1,286.76",0,204.81
Ecuador,"43,755.30","1,660.47","83,788.82","2,328.78",372.67,"1,516.62",0,,0,,Ecuador,"75,838.65","2,334.64","46,407.30","2,128.62",290.35,"1,457.38",0,0,0
Egypt,"89,518.51","22,503.92","23,718.88",430.6,"1,662.96",1.2,"149,405.27",,523.41,,Egypt,"70,205.40",509.62,"6,628.96",407.29,"1,676.23",1.22,"62,512.87",0,527.48
El Salvador,"122,799.62","2,946.40","31,103.21",55.61,313.94,12.61,40.51,,0.02,,El Salvador,"6,992.92",0,"9,642.64",38.44,173.57,7.96,0,0,0
Equatorial Guinea,"8,247.71","56,109.00","65,338.77",448.02,161.95,120.33,557.02,,"1,121.40",,Equatorial Guinea,"11,312.65","63,404.45","78,128.15",383.29,168.05,129.84,591.79,"1,478.77","1,182.48"
Eritrea,"2,267,890.59","396,048.71","205,955.26",673.32,509.17,68.31,"6,001.17",,165.94,,Eritrea,"236,737.75","152,215.17","63,971.47",578.08,111.52,36.86,"4,227.78",0,181.9
Estonia,"3,889.05",4.33,"13,550.28",0.02,0,0,0,,5.24,,Estonia,"2,866.38",0,"2,268.19",0.01,0,0,0,0,0
Ethiopia,"1,755,546.82","2,609,710.00","1,317,544.97","29,160.58","14,732.71","4,618.16","220,079.40",,"1,086.30",,Ethiopia,"3,685,416.14","1,941,917.05","1,707,784.54","20,519.08","15,052.71","4,898.51","215,127.81","28,517.97","1,138.89"
Fiji,"28,560.04",27.3,"1,150.36",123.16,253.47,20.39,0,,"1,215.90",,Fiji,"2,673.70",0,582.48,120.11,249.62,20.54,0,0,282.56
Finland,"1,475.37",1.69,"1,224.48",0,0,0,0,,0,,Finland,"2,398.30",0,459.32,0,0,0,0,0,0
France,"32,957.07","31,393.23","50,214.59",0,74.94,17.56,127.39,,1.64,,France,"37,113.65",0,"23,698.16",0,0,0,0,0,0
French Polynesia,"16,549.64","32,440.96","2,401.67",0,0,0,371.6,,5.92,,French Polynesia,0,0,0,0,0,0,0,0,0
Gabon,"30,534.30","78,300.70","118,002.37",713.34,363.55,302.14,"3,066.48",,"1,205.01",,Gabon,"45,062.23","81,147.77","86,282.16","1,457.59",477.59,342.26,"3,288.12",0,"1,325.94"
Gambia,"33,867.85","77,000.00","46,929.15",160.01,103.46,0.18,"5,378.47",,"2,142.64",,Gambia,0,0,0,131.43,109.85,0.2,"6,276.19",0,"2,224.26"
Georgia,"169,126.75","915,796.41","77,731.96",0,0.04,0,"1,876.24",,126.83,,Georgia,"18,281.48",0,"2,304.87",0,0,0,0,0,0
Germany,"18,092.53",27.25,"29,224.62",0,0,0,0,,0,,Germany,"22,823.94",0,"30,404.56",0,0,0,0,0,0
Ghana,"154,694.59","1,548,960.00","886,553.78","2,895.57","1,243.12",2.92,"50,239.32",,"21,374.72",,Ghana,"255,694.65","1,535,291.49","932,363.25","2,409.60","1,285.39",3.13,"41,967.04",0,"8,655.40"
Greece,"2,655.57",4.3,"26,838.93",0,0,0,0,,0,,Greece,"6,811.23",0,"2,626.97",0,0,0,0,0,0
Greenland,64,0,85.58,0,0,0,0,,0,,Greenland,"54,290.70",0,77.26,0,0,0,0,0,0
Grenada,"47,977.95",81.66,"5,434.60",1.26,15.43,0.02,0,,0,,Grenada,191.56,0,455.78,1.2,14.5,0.02,0,0,0
Guam,"162,784.97","583,213.35","18,198.52",0.88,"3,430.02",6.76,"1,904.16",,32.26,,Guam,0,0,254.74,0.83,0.02,0,0,0,0
Guatemala,"74,842.44","266,963.54","99,025.12","2,141.97","6,346.58","1,195.70",212.8,,25.64,,Guatemala,"32,744.22","6,437.36","34,255.04","1,711.00","4,920.67","1,044.51",0,0,0
Guinea,"137,220.73","1,455,494.35","204,853.79","12,000.58","4,138.20",104.24,"32,894.73",,"11,757.22",,Guinea,"268,667.49","1,449,864.99","294,779.49","10,673.86","12,739.66",123.52,"35,874.10",0,"12,549.40"
Guinea-Bissau,"235,656.88","261,426.00","46,699.31","1,340.84",352.1,1.51,"4,383.07",,"3,470.45",,Guinea-Bissau,"54,503.59","376,824.29","121,880.01",966.91,303.14,1.23,"4,513.27",0,"3,439.97"
Guyana,"21,430.73",706.24,"23,620.51",35.5,23.32,255.55,0,,"1,570.13",,Guyana,"3,111.24",543.13,"12,018.51",28.75,20.45,3.87,0,0,"1,527.08"
Haiti,"188,700.07","45,104.60","113,932.69","1,250.44",213.14,11.33,0,,"32,396.97",,Haiti,"151,084.56","21,100.00","462,941.65",861.9,163.88,8.51,0,0,"28,410.74"
Honduras,"15,627.76","1,109.86","70,453.67",932.75,255.66,916.08,0,,0,,Honduras,"14,451.02","3,580.06","21,008.04",839.23,238.75,985.64,0,0,0
Hungary,"16,803,410.91","213,540.59","77,813.82",0,0,0,0,,"1,604.03",,Hungary,"7,676.91",0,"1,347.84",0,0,0,0,0,0
Iceland,"6,114,592.77",0.1,"38,547.52",0,0,0,0,,0,,Iceland,0,0,96.55,0,0,0,0,0,0
India,"15,607,736.02","2,562,857.03","9,266,214.06","120,208.53","99,815.25","9,750.03",0,,"410,851.80",,India,"38,904,214.33","5,569,000.00","6,550,337.86","106,932.81","97,428.92","9,758.13",0,0,"293,622.88"
Indonesia,"5,911,493.38","754,550.00","650,612.47","29,752.84","11,341.64","1,605.43",673.28,,"248,934.97",,Indonesia,"6,214,616.65","188,000.00","466,365.98","23,960.85","11,551.38","1,540.55",474.92,0,"189,507.29"
Iran,"61,888.99",290.87,"114,607.34",143.16,126.86,0,270.18,,0,,Iran,"85,113.80",818.44,"20,255.37",130.23,120.44,0,263.84,0,0
Iraq,"62,896.16",46.8,461.89,75.2,1.36,0.01,"4,938.40",,0,,Iraq,"88,500.60",100,"12,291.55",69.43,1.4,0.02,"5,287.52",0,0
Ireland,"15,781.77",1.74,"1,745.05",0,0,0,0,,0,,Ireland,"1,805.31",0,935.82,0,0,0,0,0,0
Israel,"2,018.06",3.35,"7,770.96",0,0,0,0,,0,,Israel,"1,785.38",0,"2,860.66",0,0,0,0,0,0
Italy,"143,730.82",15.02,"55,332.78",0,0,0,0,,0,,Italy,"20,104.95",0,"48,140.84",0,0,0,0,0,0
Jamaica,"4,043.30",2.32,"57,496.15",410.75,148.15,154.6,0,,0,,Jamaica,"2,557.13",0,"7,854.62",382.75,133.35,133,0,0,0
Japan,"215,400.34",9.94,"9,237.20",0,0,0,52.42,,0,,Japan,"118,406.64",0,"9,511.33",0,0,0,0,0,0
Jordan,"511,525.25","841,380.37","371,913.78",322.08,75.69,4.48,"2,197.50",,0.08,,Jordan,"1,983.71",0,373.07,348.25,80.74,4.64,193.17,0,0
Kazakhstan,"130,335.95",4.84,"33,762.37","1,344.50",0.22,0,0,,0,,Kazakhstan,"200,689.17",0,"18,556.80","1,443.64",0.22,0,0,0,0
Kenya,"497,993.96","1,600,800.00","3,000,991.03","3,128.91","2,588.72",148.19,"63,380.62",,778.43,,Kenya,"1,446,804.86","846,409.28","2,999,867.18","2,712.18","2,643.49",156.49,"67,486.42",0,924.28
Kiribati,"22,677.97",2.79,594.05,0.97,9.68,0.8,0,,0,,Kiribati,"1,340.92",0,27.96,0.79,8.89,0.79,0,0,0
Kuwait,"93,736.42","3,085.12","3,469.62",0,0,14.78,137.29,,0.12,,Kuwait,"2,646.09",0,278.12,0,0,0,0,0,0
Kyrgyzstan,"42,061.32",9.3,"40,357.36",637.82,0.06,0,0,,0,,Kyrgyzstan,"50,727.56",0,"13,799.64",669.82,0.07,0,0,0,0
Lao People's Democratic Republic,"89,743.38","40,270.10","14,198.31","5,461.48",764.66,447.8,"2,469.84",,276.75,,Lao People's Democratic Republic,"108,628.79","8,316.71",0,"4,395.80",683.43,409.92,"1,506.24",0,228.14
Latvia,"81,582.07",6.48,"98,988.65",0.08,161.15,186.09,0,,0,,Latvia,"5,460.76",0,"6,217.89",0.05,0,0,0,0,0
Lebanon,"106,213.21","733,358.78","17,421.11",0.38,7.72,0.34,854.06,,177.39,,Lebanon,"2,837.83",0,"1,684.23",0.34,0.04,0,1.27,0,0
Lesotho,"93,976.00",10.36,"680,486.65",200.98,498.38,970.61,0,,0,,Lesotho,"309,855.61",0,"623,155.65",172.36,617.5,"1,050.17",0,0,0
Liberia,"106,131.10","540,045.00","116,742.82","2,384.01","1,793.12",128.47,"12,686.83",,"12,070.71",,Liberia,"111,038.74","464,172.08","127,126.05","2,147.24","2,807.48",156.17,"13,461.71","47,219.87","10,241.55"
Libya,"8,032.46",1.78,"7,217.50",16.71,0.08,1.61,"7,596.24",,0,,Libya,"5,715.20",0,"2,521.65",13.52,0.06,1.47,"7,257.78",0,0
Lithuania,"250,607.58","159,929.52","3,636.73","7,451.77",266.75,321.17,"1,240.07",,127.92,,Lithuania,"14,679.69",0,"2,924.93",0.08,0,0,0,0,0
Luxembourg,"282,782.77","851,199.97","207,768.67",0,0,0,637.19,,430.72,,Luxembourg,188.05,0,204.88,0,0,0,0,0,0
Madagascar,"246,913.34","788,311.60","208,404.90","26,982.25","3,344.83","6,803.09","39,064.34",,"24,192.62",,Madagascar,"374,968.22","412,109.05","124,992.78","32,229.97","2,720.01","5,897.56","37,295.17",0,"23,983.77"
Malawi,"272,270.59","1,146,980.00","2,631,095.29","3,060.69","1,095.58",9.35,"33,590.26",,"22,763.33",,Malawi,"689,808.54","533,974.32","2,505,994.21","2,483.64",915.4,7.79,"23,789.31","4,813.48","21,443.87"
Malaysia,"247,357.54","1,345,544.76","238,698.93","7,033.48","6,533.80",767.99,"1,429.53",,113.74,,Malaysia,"127,624.71","14,005.16","84,632.46","6,860.88","5,388.84",690.25,0,0,102.24
Maldives,538.91,2.56,103.58,0.11,0,0,0,,0,,Maldives,574.68,0,43.13,0.07,0,0,0,0,22.26
Mali,"180,478.86","3,225,830.00","333,827.16","3,184.48","2,383.71",0.12,"34,798.01",,"37,387.63",,Mali,"265,785.35","3,730,894.38","288,332.94","2,635.47","2,026.19",0.1,"21,062.65",0,"34,901.77"
Malta,"36,836.38","48,110.19","1,320.60",0,0,0,279.48,,0,,Malta,0,0,129.78,0,0,0,0,0,0
Marshall Islands,"1,158.81",1.99,379.84,1.43,22.98,0.37,0,,0,,Marshall Islands,405.28,0,101.22,1.22,27.46,0.38,0,0,15.89
Mauritania,"193,585.01","108,358.27","66,559.41",114.18,97.14,2.39,"6,803.15",,83.4,,Mauritania,"64,555.63","167,697.57","32,062.99",91.69,102.08,2.5,"6,664.09",0,93.17
Mauritius,"1,574.38",9.83,"23,976.07",0.58,0.01,0,"1,152.40",,0.03,,Mauritius,"1,119.51",0,"5,023.58",0.42,0.01,0,"1,196.80",0,0
