,2010,,,,,,,,,,,2013,,,,,,,,
Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF,,Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF
Qatar,"20,462.10",207.74,"2,092.72",0,0.01,0,0,,0,,Qatar,957.8,0,220.97,0,0.01,0,0,0,0
Republic of Korea,"209,094.93",27.66,"22,189.93",0,0.52,0,0,,"12,680.19",,Republic of Korea,"184,038.61",102.66,0,0,0.45,0,0,0,0
Republic of Moldova,"1,032,371.97",14.11,"43,740.79",0.39,0,0,0,,0,,Republic of Moldova,"27,605.29",0,0,0.28,0,0,0,0,0
Romania,"255,829.89","74,852.16","46,163.96","4,257.43","5,416.43",99.14,214.96,,0,,Romania,"84,643.83",0,"7,650.67",1.76,0,0,0,0,0
Russia,"920,069.00",447.09,"2,371,549.56",0,0,0,0,,0,,Russia,"1,118,836.42",0,"946,646.90",0,0,0,47.66,0,0
Rwanda,"170,820.89","627,201.00","286,851.04","5,131.19","4,180.69",640.54,"11,511.82",,0,,Rwanda,"313,236.35","333,953.45","300,669.51","4,323.81","9,013.33",951.88,"10,221.15",0,0
Saint Kitts and Nevis,86.81,0,231.31,0,0,0,0,,0,,Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0
Saint Lucia,622.77,0.15,926.53,5.47,19.59,1.59,28.68,,0,,Saint Lucia,383.12,0,467.44,5.19,17.6,1.5,28.87,0,0
Saint Vincent and the Grenadines,86.99,0.09,"1,263.82",1.34,13.08,0.02,0,,0,,Saint Vincent and the Grenadines,191.56,0,"1,159.64",1.22,12.68,0.02,0,0,0
Samoa,896.24,589.26,14.64,1.91,3.88,0,5.48,,163.31,,Samoa,574.68,0,279.2,1.56,3.35,0,0,0,98.64
San Marino,"39,997.74",201,0,0,0,0,0,,0,,San Marino,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,"160,724.54","60,776.60","3,575.00",72.87,36.79,27.92,"3,260.20",,422.07,,Sao Tome and Principe,"1,158.15","6,700.27","1,539.07",68.76,38.79,29.39,182.76,0,463.62
Saudi Arabia,"42,701.22",865.9,"9,278.20",75.01,526.89,0.06,479.31,,0,,Saudi Arabia,"51,605.27","1,737.40","13,600.97",60.74,505.81,0.06,461.25,0,0
Senegal,"136,924.51","653,870.00","121,946.30","1,367.14",492.16,60.22,"43,189.85",,"8,577.34",,Senegal,"280,801.89","555,596.01","127,924.01","1,110.60",520.55,66.63,"32,096.18",0,"10,424.90"
Serbia,"118,512.81","911,883.04","22,981.04",0.82,0,0,42.27,,0,,Serbia,"8,938.19",0,490.4,0.63,0,0,0,0,0
Seychelles,"4,080.57",0.88,474.03,3.85,16.76,18.64,0,,0,,Seychelles,190.43,0,435.27,3.86,15.06,19.18,0,0,0
Sierra Leone,"104,261.00","675,786.00","131,187.27","7,354.46","2,033.50",254.47,"5,659.54",,"7,020.29",,Sierra Leone,"173,085.51","1,307,310.63","160,310.29","6,095.53","1,730.17",221.18,"3,500.51","19,560.99","6,177.43"
Singapore,"5,586.54",0.67,"3,104.27",0,0,0,0,,0,,Singapore,"4,452.91",0,"2,419.36",0,0,0,0,0,0
Sint Maarten (Dutch part),861.92,0,0.33,0,0,0,0,,0,,Sint Maarten (Dutch part),0,0,0,0,0,0,0,0,0
Slovakia,"9,266.06",667.59,373.65,0.28,57.98,4.55,0,,0,,Slovakia,"2,953.67",0,176.1,0.24,0,0,0,0,0
Slovenia,"311,387.84","69,512.44","1,752.44",0,172.86,5.55,"1,338.82",,0,,Slovenia,"1,147.81",0,91.16,0,0,0,0,0,0
Solomon Islands,"780,133.35","7,113.05","153,954.62",38.9,296.56,43.55,852.1,,0,,Solomon Islands,"8,237.07","3,042.44",807.04,32.65,345.58,47.12,0,0,0
Somalia,"256,527.71","959,273.67","266,099.56","2,630.35","3,998.80","1,291.29","17,559.74",,0,,Somalia,"659,347.87","506,338.67","127,978.97","2,551.92","5,606.97","1,450.86","19,209.12",0,0
South Africa,"898,058.64","17,351.80","11,916,155.30","2,145.78","11,859.50","7,421.23","45,344.39",,0,,South Africa,"1,759,872.18","23,856.23","14,136,403.82","1,970.02","10,832.34","7,122.81","45,177.87",0,0
South Sudan,"308,485.73","286,669.37","551,600.03","7,659.26","1,423.15",4.17,"16,228.15",,"2,485.45",,South Sudan,"366,009.22","305,482.89","662,491.67","7,188.79","1,552.10",4.68,"18,708.98","83,529.06","2,652.67"
Spain,"322,436.71","1,440,073.03","67,704.76",0,0,0,401.19,,1.99,,Spain,"24,026.54",0,"56,874.39",0,0,0,0,0,0
Sri Lanka,"50,102.97","2,430.57","11,418.38",368.87,874.86,142.53,0,,"8,991.06",,Sri Lanka,"88,990.68",900,"3,858.69",319.7,826.41,140.25,0,0,"4,078.55"
Sudan,"300,560.70","1,145,656.97","915,044.00","1,591.85","4,100.84",29.56,"21,056.61",,"2,341.43",,Sudan,"192,958.87","438,262.74","164,516.16","1,390.19","3,965.14",13.42,"19,352.38",0,"2,551.14"
Suriname,"1,114.52",552.17,"14,826.99",6.31,32.34,0,481.89,,0,,Suriname,"1,298.10",110.59,"4,079.02",5.08,26.16,0,499.4,0,0
Swaziland,"30,330.12","1,000.00","361,454.29",180.48,797.88,291.25,958.73,,0,,Swaziland,"105,742.97","11,900.00","378,102.89",163.06,"1,224.23",351.3,918.65,0,0
Sweden,"29,707.10",0,"1,943.24",0,0,0,0,,0,,Sweden,"3,170.31",0,"1,705.12",0,0,0,0,0,0
Switzerland,"39,895.86",15.73,"7,789.87",0,0,0,0,,0,,Switzerland,"2,542.27",0,"3,360.75",0,0,0,0,0,0
Syrian Arab Republic,"530,345.52","4,443,339.84","434,670.70","1,054.60","1,770.41",26.67,"13,479.51",,66.7,,Syrian Arab Republic,"8,302.90",800,0,994.85,253.74,13.59,"2,647.70",0,0
Tajikistan,"367,965.69","1,993.51","133,661.67",64.05,0.05,0,0,,0,,Tajikistan,"69,966.27","1,196.02","5,258.86",67.77,0.13,0,0,0,0
Tanzania,"526,520.18","3,216,420.00","4,674,416.91","24,581.02","18,925.22","1,290.56","153,080.51",,"44,776.04",,Tanzania,"1,722,955.11","3,115,963.00","3,757,746.61","20,327.33","28,369.29","1,473.15","130,143.61","17,379.38","41,158.67"
Thailand,"312,853.48","24,000.00","1,123,299.96",482.33,"5,598.78",11.8,0,,173.75,,Thailand,"410,692.55","16,200.00","634,835.99",350.96,"5,026.40",10.76,0,0,65.49
The Former Yugoslav Republic of Macedonia,"133,736.61","147,847.69","16,187.26",0.23,0,0,"2,898.20",,0,,The Former Yugoslav Republic of Macedonia,"2,768.33",0,0,0.27,0,0,0,0,0
Timor-Leste,0,0,0,183.52,69.22,8.4,0,,"3,513.91",,Timor-Leste,"10,523.21","3,100.00","7,298.64",148.48,71.31,9.21,0,0,"3,617.64"
Togo,"131,136.28","327,000.00","290,545.08","2,028.70",358.88,0.15,"29,847.55",,768.26,,Togo,"101,102.55","510,900.00","329,380.19","1,655.77",377.04,0.16,"12,732.53",147.74,801.35
Tokelau,"1,036.98",0,"1,174.44",0,0,0,0,,0,,Tokelau,0,0,0,0,0,0,0,0,0
Tonga,"14,592.67",3.48,107.67,0.77,6.47,0.11,0,,55.72,,Tonga,191.56,0,153.62,0.63,6.29,0.11,0,0,57.33
Trinidad and Tobago,"126,705.47",1.84,"29,412.97",3.07,5.18,0.04,0,,0,,Trinidad and Tobago,"2,599.81",0,"11,020.58",2.74,4.61,0.04,0,0,0
Tunisia,"48,615.24",2.71,"32,144.29",32.8,0.22,0.55,576.62,,0,,Tunisia,"10,308.52",0,"3,312.36",30.61,0.21,0.52,600.21,0,0
Turkey,"96,182.50",70.7,"6,757.62",160.62,1.49,17.85,446.83,,0,,Turkey,"85,501.90",837.22,"8,234.42",138.26,1.01,17.95,468.82,0,0
Turkmenistan,"29,262.80",1.59,"22,889.27",23.92,0.11,0,0,,0,,Turkmenistan,"52,652.70",0,"11,683.36",18.75,0.1,0,0,0,0
Turks and Caicos Islands,"784,152.98","3,382,419.15","301,964.87",0,"2,337.32",0,"8,270.47",,0,,Turks and Caicos Islands,0,0,0,0,0,0,0,0,0
Tuvalu,"286,671.50",0,"18,306.21",0,0,0,0,,0,,Tuvalu,0,0,0,0,0,0,0,0,0
Uganda,"728,415.76","2,399,530.00","2,868,179.83","11,787.13","7,734.53",145.51,"116,555.03",,"19,248.43",,Uganda,"1,324,790.46","3,184,312.99","3,072,786.74","11,846.89","7,227.20",130.63,"109,001.05","21,450.47","16,061.96"
Ukraine,"305,017.68",195.69,"1,044,106.34",0,0,0,0,,0,,Ukraine,"374,801.25",0,"393,688.70",0,0,0,0,0,0
United Arab Emirates,"44,779.63",12.71,"16,078.90",0.7,0.08,0,0,,0,,United Arab Emirates,"4,954.52",100,"4,697.54",0.69,0.09,0,0,0,0
United Kingdom of Great Britain and Northern Ireland,"19,749.71",17.93,"23,442.30",0,0,0,0,,0,,United Kingdom of Great Britain and Northern Ireland,"24,195.37",0,0,0,0,0,0,0,0
United States,"39,159.94",817.95,"587,494.16",0,0,0,0,,0,,United States,"59,075.05",0,"422,565.29",0,0,0,0,0,0
Uruguay,"141,176.21",0.93,"9,740.32",0.76,0,0,0,,0,,Uruguay,"3,565.91",0,"8,928.13",0.63,0,0,0,0,0
US Virgin Islands,"2,358.99",10.13,0,0,0,0,0,,0,,US Virgin Islands,0,0,0,0,0,0,0,0,0
Uzbekistan,"192,716.23",70.17,"82,310.06",8.79,0.36,0,44.37,,0,,Uzbekistan,"239,887.70",100,"31,858.62",7.06,0.35,0,0,0,0
Vanuatu,"514,317.46","1,309.92","45,988.98",98.31,122.45,15.83,0,,216.23,,Vanuatu,"2,873.40","1,320.80",427.14,91.95,148.1,19.47,0,0,92.1
Venezuela,"32,536.30","1,023.35","277,018.19","2,793.23","1,514.78","3,412.06","4,884.60",,0,,Venezuela,"48,649.12","9,039.94","107,903.68","2,745.89","1,394.58","3,397.67","5,028.50",861.95,0
Viet Nam,"473,572.00","63,901.40","618,321.79","5,394.90","6,634.97",795.59,0,,"1,389.13",,Viet Nam,"698,237.03","19,956.32",0,"3,840.65","4,062.36",577.07,0,0,"1,432.07"
Wallis and Futuna Islands,"237,977.75","57,766.55",0,0,0,0,691.47,,0,,Wallis and Futuna Islands,0,0,0,0,0,0,0,0,0
West Bank and Gaza Strip,"228,149.63","599,804.86","27,116.03",0,0,0,0,,0,,West Bank and Gaza Strip,0,0,0,0,0,0,0,0,0
Yemen,"454,058.66","305,106.48","158,126.06","1,807.64",524.96,19.01,"17,085.50",,51.06,,Yemen,"195,462.39","372,660.87","8,464.43","1,869.38",528.43,20.22,"10,036.77",0,48.56
Zambia,"264,642.00","1,197,510.00","1,831,768.06","5,028.77","6,986.77",21.46,"30,006.68",,"4,527.77",,Zambia,"779,071.88","1,338,106.87","2,099,850.72","3,992.07","8,785.53",22.71,"29,128.63",0,"4,687.28"
Zimbabwe,"340,933.00","282,571.00","2,332,784.33","1,266.63","5,424.55","2,385.49","26,083.21",,58.98,,Zimbabwe,"709,360.03","196,698.94","2,725,284.25","1,000.83","7,836.79","2,758.39","19,070.34",0,63.95
