,2010,,,,,,,,,,,2015,,,,,,,,
Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF,,Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF
Cameroon,"165,351.00","1,776,360.00","1,548,028.75","28,368","4,496.09","2,018.99","56,096.64",,"30,613.69",,Cameroon,"124,294.51","1,663,995.81","1,816,622.70",20966.75995,"3,404.07",1506.685865,"33,185.39",78728.2862,"24,311.92"
Canada,"4,034.36",115.87,"32,963.31",0,0,0,0,,0,,Canada,"2,223.52",0,"16,383.16",0,0,0,0,0,0
Cape Verde,"1,566.99","3,119.09","5,962.26",0.63868755,1,0.002127015,0,,0,,Cape Verde,783.14,,"5,084.10",0.374509568,0.81,0.001774596,0,0,0
Cayman Islands,,,0,0,0,0,0,,0,,Cayman Islands,n/a,,0,0,0,0,0,0,0
Central African Republic,"143,960.00","512,419.00","488,382.99","6,696","2,210.69",39.11102625,"4,638.14",,"9,351.99",,Central African Republic,"153,724.23","447,772.63","440,786.14",6181.542382,"2,330.83",41.21938472,"3,989.95",21207.74832,"10,171.40"
Chad,"184,497.00","941,398.00","482,579.84","6,257","4,191.14",0.22,"25,886.26",,"12,226.84",,Chad,"160,775.99","804,552.82","513,923.70",5990.097776,"5,076.74",0.25,"31,018.12",11683.5267,"14,699.60"
Chile,"14,689.90",5.02,"31,277.63",318.1461119,0.16,11.89118386,0,,0,,Chile,"11,206.66",0,"21,904.02",307.5891518,0.1,11.20935444,0,0,0
China,"1,732,860.00","11,717.30","1,751,701.14",9505.753354,"34,728.69","2,068.43","48,561.28",,0,,China,"1,838,248.90","10,615.08","1,911,023.90",6527.337569,"29,513.24","1,900.39","24,057.89",0,0
"China, Hong Kong SAR",,,0,0,0,0,0,,0,,"China, Hong Kong SAR",n/a,,0,0,0,0,0,0,0
"China, Macao SAR",,,0,0,0,0,0,,0,,"China, Macao SAR",n/a,,0,0,0,0,0,0,0
